
Base Info:
File Name:ed72hdiptuc_03
Filter :450nm / Off
Mode :Normal

Shake :On
Speed :Slow
Time :00 : 00 : 05
Mode :First
Pause Time :00 : 00 : 00

Preprocess : Off
Kinetic : Off
Readings: 2
Interval: 00 : 00 : 00
Curves : On
Interpret: Off
Source: ABS
Cutoff:
NC Coef: 1.00
PC Coef: 0.00
Constant: 0.00
Weak P: (+/- Cutoff%): 0.00
Positive:  >

Quality: Off
Source: ABS
NO., Target, SD, CV, Upper limit, Lower limit, 

Layout
, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12  
A, NC, UD, UD, UD, UD, UD, UD, UD, UD, BK, EP, EP, 
B, NC, UD, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, 
C, NC, UD, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, 
D, NC, UD, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, 
E, EP, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, EP, 
F, EP, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, EP, 
G, EP, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, EP, 
H, EP, UD, UD, UD, UD, UD, UD, UD, EP, EP, EP, EP, 

Absorbance data:
Filter 1:450nm
, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 
Readings: 1
A, 0.677, 0.602, 0.613, 0.340, 0.238, 0.515, 0.247, 0.164, 0.386, 0.000, EP, EP
B, 0.935, 0.791, 0.652, 0.601, 0.403, 0.588, 0.381, 0.165, 0.392, EP, EP, EP
C, 0.886, 0.740, 0.603, 0.629, 0.247, 0.605, 0.481, 0.200, 0.424, EP, EP, EP
D, 0.969, 0.588, 0.564, 0.477, 0.245, 0.575, 0.306, 0.200, 0.417, EP, EP, EP
E, EP, 0.649, 0.352, 0.501, 0.432, 0.262, 0.541, 0.347, EP, EP, EP, EP
F, EP, 0.558, 0.382, 0.649, 0.471, 0.196, 0.525, 0.361, EP, EP, EP, EP
G, EP, 0.772, 0.429, 0.807, 0.340, 0.163, 0.494, 0.327, EP, EP, EP, EP
H, EP, 0.725, 0.483, 0.626, 0.416, 0.199, 0.428, 0.333, EP, EP, EP, EP

